match_id,league,date,time,kickoff_time_utc,home_team,away_team,home_goals,away_goals,result,home_odds,draw_odds,away_odds
E0_2024-08-31_brentford_southampton,E0,2024-08-31,15:00,2024-08-31 14:00:00+00:00,Brentford,Southampton,3,1,H,1.8,3.86,4.42
E0_2024-08-31_everton_bournemouth,E0,2024-08-31,15:00,2024-08-31 14:00:00+00:00,Everton,Bournemouth,2,3,A,2.96,3.45,2.43
E0_2024-08-31_ipswich_fulham,E0,2024-08-31,15:00,2024-08-31 14:00:00+00:00,Ipswich,Fulham,1,1,D,3.03,3.41,2.4
E0_2024-08-31_leicester_aston-villa,E0,2024-08-31,15:00,2024-08-31 14:00:00+00:00,Leicester,Aston Villa,1,2,A,4.0,3.76,1.91
E0_2024-08-31_nott-m-forest_wolves,E0,2024-08-31,15:00,2024-08-31 14:00:00+00:00,Nott'm Forest,Wolves,1,1,D,2.0,3.61,3.73
F1_2024-08-31_brest_st-etienne,F1,2024-08-31,16:00,2024-08-31 15:00:00+00:00,Brest,St Etienne,4,0,H,1.74,3.86,4.71
SP1_2024-08-31_barcelona_valladolid,SP1,2024-08-31,16:00,2024-08-31 15:00:00+00:00,Barcelona,Valladolid,7,0,H,1.2,7.23,13.12
D1_2024-08-31_leverkusen_rb-leipzig,D1,2024-08-31,17:30,2024-08-31 16:30:00+00:00,Leverkusen,RB Leipzig,2,3,A,1.67,4.34,4.66
E0_2024-08-31_west-ham_man-city,E0,2024-08-31,17:30,2024-08-31 16:30:00+00:00,West Ham,Man City,1,3,A,7.32,5.14,1.4
I1_2024-08-31_bologna_empoli,I1,2024-08-31,17:30,2024-08-31 16:30:00+00:00,Bologna,Empoli,1,1,D,1.72,3.62,5.37
I1_2024-08-31_lecce_cagliari,I1,2024-08-31,17:30,2024-08-31 16:30:00+00:00,Lecce,Cagliari,1,0,H,2.26,3.16,3.5
F1_2024-08-31_montpellier_nantes,F1,2024-08-31,18:00,2024-08-31 17:00:00+00:00,Montpellier,Nantes,1,3,A,2.26,3.51,3.15
SP1_2024-08-31_ath-bilbao_ath-madrid,SP1,2024-08-31,18:00,2024-08-31 17:00:00+00:00,Ath Bilbao,Ath Madrid,0,1,A,2.8,3.25,2.64
