season,outcome,bin,avg_pred,actual,error,count
2025-2026,home,9,0.3907669528731612,0.3793103448275862,-0.011456608045575023,87
2025-2026,home,10,0.41028323849184595,0.5454545454545454,0.13517130696269947,88
2025-2026,home,11,0.43257282296436467,0.38636363636363635,-0.046209186600728314,88
2025-2026,home,12,0.45604948968601045,0.5172413793103449,0.06119188962433442,87
2025-2026,home,13,0.4793273478959003,0.48863636363636365,0.009309015740463333,88
2025-2026,home,14,0.5026309012671354,0.4942528735632184,-0.00837802770391699,87
2025-2026,home,15,0.5325507445278833,0.5113636363636364,-0.02118710816424696,88
2025-2026,home,16,0.5659967942142237,0.5977011494252874,0.03170435521106374,87
2025-2026,home,17,0.608233015199842,0.6136363636363636,0.005403348436521682,88
2025-2026,home,18,0.6514892721444043,0.7011494252873564,0.049660153142952024,87
2025-2026,home,19,0.7025269943788935,0.7386363636363636,0.0361093692574701,88
2025-2026,home,20,0.7877153068275766,0.8295454545454546,0.041830147717877963,88
2025-2026,draw,1,0.13225929765974498,0.10227272727272728,-0.0299865703870177,88
2025-2026,draw,2,0.17280466292675417,0.19318181818181818,0.020377155255064006,88
2025-2026,draw,3,0.19569447239133186,0.16091954022988506,-0.03477493216144681,87
2025-2026,draw,4,0.2111152301544849,0.2159090909090909,0.004793860754606,88
2025-2026,draw,5,0.2226827918178107,0.19540229885057472,-0.027280492967235975,87
2025-2026,draw,6,0.23237913681100367,0.25,0.017620863188996333,88
2025-2026,draw,7,0.2413054381239681,0.2413793103448276,7.387222085949996e-05,87
2025-2026,draw,8,0.2486788074018287,0.22727272727272727,-0.021406080129101446,88
2025-2026,draw,9,0.2544613978675952,0.25287356321839083,-0.0015878346492043671,87
2025-2026,draw,10,0.25922823439048814,0.22727272727272727,-0.03195550711776088,88
2025-2026,draw,11,0.26427828931658737,0.25,-0.014278289316587367,88
2025-2026,draw,12,0.26986838152588793,0.2988505747126437,0.028982193186755767,87
2025-2026,draw,13,0.2748123172226206,0.3181818181818182,0.04336950095919756,88
2025-2026,draw,14,0.2794569760439864,0.28735632183908044,0.007899345795094048,87
2025-2026,draw,15,0.2843218106791356,0.3068181818181818,0.022496371139046234,88
2025-2026,draw,16,0.2896073454487637,0.39080459770114945,0.10119725225238574,87
2025-2026,draw,17,0.2955250466100898,0.32954545454545453,0.034020407935364705,88
2025-2026,draw,18,0.30276681372751174,0.26436781609195403,-0.03839899763555771,87
2025-2026,draw,19,0.31185310610889394,0.2840909090909091,-0.027762197017984824,88
2025-2026,draw,20,0.32874100437110004,0.29545454545454547,-0.03328645891655457,88
2025-2026,away,1,0.0752677472646273,0.056818181818181816,-0.018449565446445486,88
2025-2026,away,2,0.11245130416518978,0.06818181818181818,-0.044269485983371604,88
2025-2026,away,3,0.13950055999596975,0.1839080459770115,0.044407485981041744,87
2025-2026,away,4,0.16560223766203894,0.18181818181818182,0.016215944156142886,88
2025-2026,away,5,0.1895777114101461,0.11494252873563218,-0.07463518267451391,87
2025-2026,away,6,0.21027753345968173,0.22727272727272727,0.01699519381304554,88
2025-2026,away,7,0.22633449741146877,0.19540229885057472,-0.030932198560894048,87
